"Date","Price","Open","High","Low","Change %"
"Jan 18","19.6350","18.6050","19.7050","18.3050","5.48%"
"Dec 17","18.6145","17.2805","19.1805","17.2005","7.57%"
"Nov 17","17.3050","17.6350","17.7050","17.2750","-1.87%"
"Oct 17","17.6350","17.2550","17.7650","17.2050","1.86%"
"Sep 17","17.3130","17.2940","17.6740","16.9740","-0.14%"
"Aug 17","17.3370","17.6170","17.8270","17.0170","-1.75%"
"Jul 17","17.6450","16.7600","17.8050","16.7350","6.15%"
"Jun 17","16.6220","16.0930","16.6610","15.8360","3.28%"
"May 17","16.0940","15.3920","16.1945","15.2370","4.58%"
"Apr 17","15.3885","15.3670","15.5135","15.1050","0.05%"
"Mar 17","15.3805","15.4600","15.7145","15.3000","-0.61%"
"Feb 17","15.4750","15.8900","15.8960","15.3200","-2.66%"
"Jan 17","15.8985","15.8750","16.1265","15.7000","0.19%"
"Dec 16","15.8680","15.8000","16.1030","15.4500","0.01%"
"Nov 16","15.8665","15.1500","15.9545","14.8100","4.63%"
"Oct 16","15.1650","15.2100","15.3150","15.0000","-1.27%"
"Sep 16","15.3595","14.9175","15.4445","14.8300","2.90%"
"Aug 16","14.9262","14.9880","15.1462","14.6000","-0.50%"
"Jul 16","15.0010","15.0400","15.3130","14.5420","-0.25%"
"Jun 16","15.0385","13.9720","15.3135","13.7000","7.55%"
"May 16","13.9825","14.2800","14.3105","13.9000","-2.12%"
"Apr 16","14.2850","14.6500","14.8350","13.9000","-2.81%"
"Mar 16","14.6975","15.8100","15.9560","14.1000","-7.16%"
"Feb 16","15.8315","13.8961","15.8465","13.8905","13.97%"
"Jan 16","13.8910","12.9329","14.0110","12.8849","7.35%"
"Dec 15","12.9399","9.7045","13.9041","9.6652","33.94%"
"Nov 15","9.6609","9.5190","9.7114","9.3993","1.50%"
"Oct 15","9.5180","9.4236","9.5445","9.3257","0.98%"
"Sep 15","9.4258","9.2971","9.4307","9.2863","1.37%"
"Aug 15","9.2987","9.1964","9.3046","9.1800","1.10%"
"Jul 15","9.1976","9.0984","9.2075","9.0755","1.09%"
"Jun 15","9.0987","9.0014","9.1124","8.9862","1.06%"
"May 15","9.0035","8.9175","9.0148","8.9025","0.91%"
"Apr 15","8.9219","8.8164","8.9246","8.8101","1.16%"
"Mar 15","8.8197","8.7185","8.8257","8.7185","1.13%"
"Feb 15","8.7215","8.6320","8.7265","8.6320","1.03%"
"Jan 15","8.6330","8.5500","8.6435","8.5460","0.96%"
"Dec 14","8.5505","8.5270","8.5678","8.5220","0.26%"
"Nov 14","8.5280","8.5020","8.5285","8.5000","0.29%"
"Oct 14","8.5030","8.4295","8.5040","8.4175","0.82%"
"Sep 14","8.4335","8.3910","8.4860","8.3800","0.38%"
"Aug 14","8.4013","8.2120","8.4210","8.2105","2.28%"
"Jul 14","8.2138","8.1302","8.2183","8.1290","1.01%"
"Jun 14","8.1315","8.0750","8.1460","8.0750","0.66%"
"May 14","8.0785","7.9997","8.0825","7.9980","0.97%"
"Apr 14","8.0008","7.9998","8.0085","7.9900","-0.00%"
"Mar 14","8.0010","7.8845","8.0210","7.8500","1.46%"
"Feb 14","7.8855","8.0177","8.0410","7.7450","-1.66%"
"Jan 14","8.0188","6.5199","8.1310","6.5199","23.03%"
"Dec 13","6.5180","6.1389","6.5289","6.1389","6.15%"
"Nov 13","6.1405","5.9150","6.1426","5.9119","3.93%"
"Oct 13","5.9082","5.7899","5.9129","5.7897","2.03%"
"Sep 13","5.7908","5.6709","5.7930","5.6709","2.11%"
"Aug 13","5.6713","5.5049","5.6732","5.5040","3.00%"
"Jul 13","5.5062","5.3869","5.5092","5.3865","2.23%"
"Jun 13","5.3863","5.2839","5.3893","5.2829","1.95%"
"May 13","5.2835","5.1875","5.2850","5.1849","1.83%"
"Apr 13","5.1885","5.1200","5.1885","5.1195","1.33%"
"Mar 13","5.1206","5.0440","5.1251","5.0440","1.96%"
"Feb 13","5.0220","4.9781","5.0518","4.9493","-0.47%"
"Feb 13","5.0455","4.9800","5.0465","4.9760","1.35%"
"Jan 13","4.9781","4.9235","4.9801","4.8696","0.00%"
"Jan 13","4.9780","4.9175","4.9785","4.9175","1.11%"
