"Date","Price","Open","High","Low","Change %"
"Jan 18","1.2421","1.2002","1.2537","1.1915","3.53%"
"Dec 17","1.1998","1.1904","1.2030","1.1718","0.79%"
"Nov 17","1.1904","1.1646","1.1962","1.1554","2.22%"
"Oct 17","1.1646","1.1818","1.1882","1.1575","-1.42%"
"Sep 17","1.1814","1.1911","1.2094","1.1717","-0.81%"
"Aug 17","1.1910","1.1842","1.2071","1.1663","0.57%"
"Jul 17","1.1842","1.1420","1.1847","1.1313","3.64%"
"Jun 17","1.1426","1.1243","1.1448","1.1120","1.63%"
"May 17","1.1243","1.0908","1.1269","1.0840","3.18%"
"Apr 17","1.0897","1.0660","1.0952","1.0570","2.30%"
"Mar 17","1.0652","1.0576","1.0907","1.0495","0.71%"
"Feb 17","1.0577","1.0798","1.0830","1.0494","-2.05%"
"Jan 17","1.0798","1.0532","1.0814","1.0342","2.68%"
"Dec 16","1.0516","1.0591","1.0875","1.0353","-0.68%"
"Nov 16","1.0588","1.0982","1.1302","1.0518","-3.58%"
"Oct 16","1.0981","1.1235","1.1245","1.0850","-2.31%"
"Sep 16","1.1241","1.1158","1.1329","1.1122","0.74%"
"Aug 16","1.1158","1.1175","1.1367","1.1045","-0.14%"
"Jul 16","1.1174","1.1106","1.1200","1.0954","0.62%"
"Jun 16","1.1105","1.1132","1.1434","1.0911","-0.24%"
"May 16","1.1132","1.1447","1.1617","1.1099","-2.83%"
"Apr 16","1.1456","1.1380","1.1466","1.1215","0.67%"
"Mar 16","1.1380","1.0872","1.1413","1.0822","4.66%"
"Feb 16","1.0873","1.0833","1.1377","1.0814","0.33%"
"Jan 16","1.0837","1.0862","1.0986","1.0712","-0.21%"
"Dec 15","1.0860","1.0567","1.1059","1.0538","2.80%"
"Nov 15","1.0564","1.1015","1.1053","1.0557","-4.01%"
"Oct 15","1.1005","1.1176","1.1496","1.0895","-1.54%"
"Sep 15","1.1177","1.1210","1.1460","1.1087","-0.34%"
"Aug 15","1.1215","1.0972","1.1715","1.0851","2.07%"
"Jul 15","1.0988","1.1139","1.1216","1.0809","-1.35%"
"Jun 15","1.1138","1.0989","1.1439","1.0889","1.37%"
"May 15","1.0988","1.1222","1.1467","1.0819","-2.10%"
"Apr 15","1.1224","1.0736","1.1268","1.0521","4.59%"
"Mar 15","1.0731","1.1187","1.1241","1.0457","-4.15%"
"Feb 15","1.1196","1.1284","1.1535","1.1178","-0.82%"
"Jan 15","1.1288","1.2101","1.2110","1.1100","-6.70%"
"Dec 14","1.2099","1.2456","1.2571","1.2096","-2.83%"
"Nov 14","1.2452","1.2517","1.2601","1.2359","-0.58%"
"Oct 14","1.2525","1.2631","1.2886","1.2485","-0.85%"
"Sep 14","1.2632","1.3138","1.3161","1.2571","-3.81%"
"Aug 14","1.3133","1.3391","1.3444","1.3131","-1.91%"
"Jul 14","1.3389","1.3692","1.3701","1.3366","-2.21%"
"Jun 14","1.3692","1.3634","1.3698","1.3503","0.45%"
"May 14","1.3631","1.3866","1.3993","1.3585","-1.70%"
"Apr 14","1.3867","1.3768","1.3906","1.3673","0.70%"
"Mar 14","1.3771","1.3786","1.3968","1.3705","-0.22%"
"Feb 14","1.3802","1.3493","1.3824","1.3476","2.34%"
"Jan 14","1.3487","1.3742","1.3777","1.3480","-1.88%"
"Dec 13","1.3746","1.3589","1.3893","1.3523","1.14%"
"Nov 13","1.3591","1.3583","1.3622","1.3296","0.05%"
"Oct 13","1.3584","1.3529","1.3835","1.3475","0.43%"
"Sep 13","1.3526","1.3234","1.3570","1.3105","2.30%"
"Aug 13","1.3222","1.3302","1.3455","1.3175","-0.60%"
"Jul 13","1.3302","1.3008","1.3346","1.2756","2.24%"
"Jun 13","1.3010","1.2984","1.3417","1.2956","0.08%"
"May 13","1.2999","1.3170","1.3246","1.2799","-1.28%"
"Apr 13","1.3167","1.2814","1.3202","1.2746","2.71%"
"Mar 13","1.2820","1.3056","1.3136","1.2752","-1.81%"
"Feb 13","1.3056","1.3577","1.3712","1.3017","-3.85%"
"Jan 13","1.3579","1.3195","1.3594","1.2998","2.90%"
